,date,has_setlist,name,tour,venue
1537,02-12-2012,False,Blue Foundation,No Tour Assigned,Artplay
1538,01-12-2012,False,Hospital,No Tour Assigned,China-Town-Cafe
1539,01-12-2012,False,Tinavie,No Tour Assigned,
1540,09-09-2017,False,ATL,No Tour Assigned,Luzhniki Stadium
1541,09-09-2017,False,ST,No Tour Assigned,Luzhniki Stadium
1542,09-09-2017,True,Tesla Boy,No Tour Assigned,VDNKh
1543,09-09-2017,False,Yasmin Levy,No Tour Assigned,Kolomenskoe Park
1544,09-09-2017,False,Pelageya,No Tour Assigned,Kolomenskoe Park
1545,09-09-2017,False,Sevara Nazarkhan,No Tour Assigned,Kolomenskoe Park
1546,09-09-2017,False,Nino Katamadze,No Tour Assigned,Kolomenskoe Park
1547,09-09-2017,False,Noize MC,No Tour Assigned,Luzhniki Stadium
1548,09-09-2017,False,Kasta,No Tour Assigned,Luzhniki Stadium
1549,09-09-2017,False,Nino Katamadze & Insight,No Tour Assigned,Kolomenskoe Park
1550,09-09-2017,True,Lena Katina,No Tour Assigned,Tsvetnoy Bul’var
1551,08-09-2017,True,Pompeya,No Tour Assigned,16 Tons
1552,08-09-2017,False,Nina Karlsson,No Tour Assigned,"Garage, Museum of Contemporary Art"
1553,08-09-2017,True,Anna Pletnyova,No Tour Assigned,Open Moscow Bar
1554,07-09-2017,True,Two Door Cinema Club,Gameshow,GlavClub
1555,06-09-2017,False,Ufomammut,No Tour Assigned,Volta Club
1556,05-09-2017,True,Amon Amarth,Jomsviking World Tour 2017,GlavClub
1557,05-09-2017,False,The Bohemians,No Tour Assigned,Club Teatr'
1558,02-09-2017,True,"Melody, Save Me",No Tour Assigned,Shagi
1559,02-09-2017,True,Kedr Livanskiy,No Tour Assigned,Aglomerat
1560,18-03-2010,False,Icon in Me,No Tour Assigned,Plan B Club
1561,18-03-2010,True,Scorpions,Get Your Sting And Blackout,Megasport Palace
1562,18-03-2010,True,Nancial,No Tour Assigned,Plan B Club
1563,16-03-2010,True,Mooncake,No Tour Assigned,Ikra
1564,16-03-2010,True,On-The-Go,No Tour Assigned,B2
1565,16-03-2010,True,The Samuel Jackson Five,No Tour Assigned,Ikra
1566,16-03-2010,True,Secrets of the Third Planet,No Tour Assigned,Ikra
1567,14-03-2010,True,Hypocrisy,"Long Time, No Death... Europe 2010",B1 Maximum Club
1568,13-03-2010,False,Cosmonauts Day,No Tour Assigned,Cactus Cave
1569,12-03-2010,True,Tanzwut,No Tour Assigned,Tochka
1570,12-03-2010,False,Dottie Danger,No Tour Assigned,Aktoviy Zal
1571,12-03-2010,False,Luke Leighfield,No Tour Assigned,Squat Cafe
